"NUTS3_ID","nuts3","age","sex","pop"
"DE946","Ammerland County","[35-40)","male",3567
"DE946","Ammerland County","[40-45)","male",3538
"DE946","Ammerland County","[45-50)","male",3607
"DE946","Ammerland County","[50-55)","male",4994
"DE946","Ammerland County","[55-60)","male",5342
"DE946","Ammerland County","[60-65)","male",4445
"DE946","Ammerland County","[65-75)","male",7122
"DE946","Ammerland County","[75+)","male",6467
"DEE05","Anhalt-Bitterfeld County","[00-03)","female",1583
"DEE05","Anhalt-Bitterfeld County","[03-06)","female",1848
"DEE05","Anhalt-Bitterfeld County","[06-10)","female",2498
"DEE05","Anhalt-Bitterfeld County","[10-15)","female",3144
"DEE05","Anhalt-Bitterfeld County","[15-18)","female",1734
"DEE05","Anhalt-Bitterfeld County","[18-20)","female",1105
"DEE05","Anhalt-Bitterfeld County","[20-25)","female",2452
"DEE05","Anhalt-Bitterfeld County","[25-30)","female",2034
"DEE05","Anhalt-Bitterfeld County","[30-35)","female",4048
"DEE05","Anhalt-Bitterfeld County","[35-40)","female",4409
"DEE05","Anhalt-Bitterfeld County","[40-45)","female",4389
"DEE05","Anhalt-Bitterfeld County","[45-50)","female",3991
"DEE05","Anhalt-Bitterfeld County","[50-55)","female",5858
"DEE05","Anhalt-Bitterfeld County","[55-60)","female",7237
"DEE05","Anhalt-Bitterfeld County","[60-65)","female",7179
"DEE05","Anhalt-Bitterfeld County","[65-75)","female",12058
"DEE05","Anhalt-Bitterfeld County","[75+)","female",13893
"DEE05","Anhalt-Bitterfeld County","[00-03)","male",1695
"DEE05","Anhalt-Bitterfeld County","[03-06)","male",1929
"DEE05","Anhalt-Bitterfeld County","[06-10)","male",2628
"DEE05","Anhalt-Bitterfeld County","[10-15)","male",3214
"DEE05","Anhalt-Bitterfeld County","[15-18)","male",1844
"DEE05","Anhalt-Bitterfeld County","[18-20)","male",1290
"DEE05","Anhalt-Bitterfeld County","[20-25)","male",3078
"DEE05","Anhalt-Bitterfeld County","[25-30)","male",2334
"DEE05","Anhalt-Bitterfeld County","[30-35)","male",4342
"DEE05","Anhalt-Bitterfeld County","[35-40)","male",4887
"DEE05","Anhalt-Bitterfeld County","[40-45)","male",4984
"DEE05","Anhalt-Bitterfeld County","[45-50)","male",4604
"DEE05","Anhalt-Bitterfeld County","[50-55)","male",6174
"DEE05","Anhalt-Bitterfeld County","[55-60)","male",7126
"DEE05","Anhalt-Bitterfeld County","[60-65)","male",6878
"DEE05","Anhalt-Bitterfeld County","[65-75)","male",10785
"DEE05","Anhalt-Bitterfeld County","[75+)","male",8648
"DE256","Ansbach County","[00-03)","female",2755
