GENESIS-Tabelle: 12411-0018
Population: Administrative districts, reference date, sex,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
age groups;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Current updating of population figures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Population (number);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Male;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
;;;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over;under 3 years;3 to under 6 years;6 to under 10 years;10 to under 15 years;15 to under 18 years;18 to under 20 years;20 to under 25 years;25 to under 30 years;30 to under 35 years;35 to under 40 years;40 to under 45 years;45 to under 50 years;50 to under 55 years;55 to under 60 years;60 to under 65 years;65 to under 75 years;75 years and over
2021-12-31;05111;Düsseldorf, kreisfreie Stadt;9217;9361;11420;13762;7769;5137;16087;22987;26111;23146;20234;19245;23097;23294;18140;25429;25147;8739;8813;10914;12919;7255;5084;17413;25016;27119;23248;20658;19079;22403;22602;19208;30689;38735
2021-12-31;05112;Duisburg, kreisfreie Stadt;7854;8140;9889;12020;7271;4960;15216;16954;17921;15580;15204;14989;18347;19966;16607;23121;20677;7384;7629;9216;11394;6697;4864;13665;15565;16828;15084;14934;14786;17928;19122;16904;26786;31650
2021-12-31;05113;Essen, kreisfreie Stadt;8861;9031;11061;12860;7924;5343;16549;20259;21755;19280;17386;16496;20693;22177;19019;28202;25095;8440;8423;10411;12347;7380;5073;15935;19881;21027;18706;17508;16695;20589;22214;20166;32843;39803
2021-12-31;05114;Krefeld, kreisfreie Stadt;3291;3483;4271;5396;3376;2254;6555;7297;7530;6757;6577;6548;8649;9434;7993;11016;10415;3066;3259;4035;4886;3086;2101;5933;6738;7071;6803;6664;6860;8924;9328;8456;13109;15889
2021-12-31;05116;Mönchengladbach, kreisfreie Stadt;3836;4191;5024;6177;3829;2674;7604;8789;9387;8402;7596;7264;9796;10678;9342;13330;11080;3781;3762;4739;5670;3566;2456;7208;7973;8483;7937;7796;7472;9615;10781;9558;14927;16278
2021-12-31;05117;Mülheim an der Ruhr, kreisfreie Stadt;2491;2663;3274;3897;2231;1616;4398;5168;5496;4988;4824;4717;6416;6982;5953;8818;8483;2382;2515;2984;3705;2190;1374;3837;4723;5360;5059;5098;4957;6718;7213;6447;10449;13313
2021-12-31;05119;Oberhausen, kreisfreie Stadt;3000;3163;3975;4700;2801;1944;5486;6536;7055;6528;6375;6251;7848;8663;7636;11349;9000;2924;3009;3687;4464;2804;1836;5054;6022;6713;6459;6453;5905;7782;8580;8154;12879;13717
2021-12-31;05120;Remscheid, kreisfreie Stadt;1645;1743;2128;2674;1620;1137;3078;3394;3579;3370;3427;3371;4405;4994;4097;5612;5144;1599;1676;2060;2494;1614;1067;2779;3044;3427;3084;3334;3212;4280;4643;4152;6191;7696
2021-12-31;05122;Solingen, kreisfreie Stadt;2391;2494;3073;3716;2462;1598;4390;4698;5009;4713;4584;4523;6113;6905;5794;7586;7211;2285;2268;2872;3636;2204;1489;4017;4592;5087;4993;4893;4713;6340;6905;5961;8476;10966
2021-12-31;05124;Wuppertal, kreisfreie Stadt;5394;5664;7127;8507;5404;3567;11005;12314;12638;11351;10608;9848;12999;14165;12044;16254;15213;5218;5313;6623;8141;5081;3488;10673;11462;11722;10847;10367;10163;12826;14080;12160;19119;23187
2021-12-31;05154;Kleve, Landkreis;4561;4631;5913;7325;4666;3235;9372;10069;10384;9826;9279;8976;12398;13918;11896;17228;13077;4302;4380;5584;6848;4387;2916;7887;8902;9728;9285;8907;9191;12713;13844;11911;18285;18852
2021-12-31;05158;Mettmann, Landkreis;6991;7452;9365;11492;6892;4715;11938;12156;13553;13869;13807;13705;18841;21049;17599;24832;25709;6497;7054;9011;10977;6691;4296;10660;11406;13991;14705;14521;14608;19376;21606;18677;29133;37237
2021-12-31;05162;Rhein-Kreis Neuss;6745;7153;9259;10989;6743;4540;11333;11598;13067;13465;13905;13441;17852;19262;16105;23057;21321;6430;6893;8573;10547;6194;4051;9996;10906;13184;14239;14834;14261;18430;19685;17056;26744;30638
2021-12-31;05166;Viersen, Landkreis;4096;4352;5394;6683;4237;2899;7528;7999;8640;8648;8391;8382;12223;14073;11767;16322;14112;3789;4009;5204;6467;4028;2749;6734;7542;8529;8708;8739;8936;12782;14246;12062;18095;20396
2021-12-31;05170;Wesel, Landkreis;6336;6712;8311;10276;6490;4343;11327;12219;14226;13085;12882;12414;17646;20419;18229;26925;22349;5951;6254;7932;9776;5955;3987;9866;11267;13640;13630;13455;13021;18652;21183;19201;30052;32422
2021-12-31;05313;Aachen, kreisfreie Stadt (until 2009-10-20);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021-12-31;05314;Bonn, kreisfreie Stadt;4871;5029;6564;8119;4917;3510;12028;13471;12595;10755;9758;9210;11129;11550;9500;13163;12476;4581;4606;6174;7558;4550;3659;13618;13649;13008;11477;10705;10049;11598;12096;10380;15796;19736
2021-12-31;05315;Köln, kreisfreie Stadt;16283;15884;19881;24035;13860;9460;32532;43127;45982;38963;35530;33939;39892;39536;30548;41903;40584;15417;14919;18791;22639;13076;9340;36164;46696;46356;39694;37399;34576;38739;38454;31589;50210;57098
2021-12-31;05316;Leverkusen, kreisfreie Stadt;2497;2500;3313;4002;2491;1681;4446;4848;5345;4870;4838;4851;6425;6929;5696;7341;7813;2318;2416;3119;3729;2273;1491;4031;4568;5134;5023;5176;4988;6381;6821;5854;8925;11718
2021-12-31;05334;Städteregion Aachen, Landkreis;7824;7665;9861;11893;7351;7038;26479;26028;20459;16714;14887;14539;19360;21503;18800;27251;23596;7394;7440;9054;11202;7111;5734;19231;19500;17472;15545;15345;15189;19864;21314;19051;30538;34441
2021-12-31;05354;Aachen, Landkreis (until 2009-10-20);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
